complaint_text,risk_encoded
small issue subscription urgent unacceptable,0
received incomplete items need assistance unacceptable,1
minor billing discrepancy last invoice unacceptable,0
internet connection unstable 2 days unacceptable,1
product caused injury using urgent medical attention needed disappointed hoon,3
delivery executive rude unprofessional please resolve soon,2
product unsafe children withdraw immediately take legal action,3
customer support refused resolve issue repeatedly,2
received wrong color variant usable take legal action,0
company violated legal terms sent misleading invoices take legal action,3
minor billing discrepancy last invoice,0
customer care respond repeated emails unacceptable,1
product warranty activation problem unacceptable,1
minor billing discrepancy last invoice immediately action lo,0
received wrong color variant usable immediately action lo,0
received incomplete items need assistance immediately action lo,1
product unsafe children withdraw immediately immediately action lo,3
company violated legal terms sent misleading invoices unacceptable,3
charged multiple times product,2
company violated legal terms sent misleading invoices please resolve soon,3
product slightly delayed works fine unacceptable,0
customer support refused resolve issue repeatedly immediately action lo,2
minor billing discrepancy last invoice unacceptable,0
product warranty activation problem unacceptable,1
delivery executive rude unprofessional,2
product unsafe children withdraw immediately immediately action lo,3
call center repeatedly disconnected unacceptable,1
delivery executive rude unprofessional immediately action lo,2
minor billing discrepancy last invoice disappointed hoon,0
minor billing discrepancy last invoice take legal action,0
delivery executive rude unprofessional take legal action,2
packaging slightly damaged item okay unacceptable,0
customer care respond repeated emails immediately action lo,1
product slightly delayed works fine,0
account temporarily blocked causing inconvenience unacceptable,2
account temporarily blocked causing inconvenience please resolve soon,2
charged multiple times product disappointed hoon,2
internet connection unstable 2 days please resolve soon,1
product stopped working within days please resolve soon,2
account temporarily blocked causing inconvenience unacceptable,2
minor billing discrepancy last invoice immediately action lo,0
call center repeatedly disconnected,1
product warranty activation problem disappointed hoon,1
product slightly delayed works fine immediately action lo,0
customer support refused resolve issue repeatedly immediately action lo,2
product stopped working within days,2
product warranty activation problem please resolve soon,1
product slightly delayed works fine immediately action lo,0
product warranty activation problem,1
product warranty activation problem please resolve soon,1
received incomplete items need assistance disappointed hoon,1
product unsafe children withdraw immediately,3
delivery executive rude unprofessional immediately action lo,2
product caused injury using urgent medical attention needed unacceptable,3
company violated legal terms sent misleading invoices unacceptable,3
customer care respond repeated emails unacceptable,1
account temporarily blocked causing inconvenience take legal action,2
received incomplete items need assistance unacceptable,1
delivery executive rude unprofessional take legal action,2
product stopped working within days take legal action,2
delivery executive rude unprofessional unacceptable,2
delivery executive rude unprofessional immediately action lo,2
customer support refused resolve issue repeatedly please resolve soon,2
internet connection unstable 2 days disappointed hoon,1
sensitive personal data leaked urgent action required unacceptable,3
small issue subscription urgent please resolve soon,0
delivery executive rude unprofessional unacceptable,2
product slightly delayed works fine immediately action lo,0
call center repeatedly disconnected disappointed hoon,1
product stopped working within days,2
company violated legal terms sent misleading invoices please resolve soon,3
delivery executive rude unprofessional,2
received wrong color variant usable disappointed hoon,0
received incomplete items need assistance take legal action,1
received wrong color variant usable unacceptable,0
major safety hazard product recall immediately please resolve soon,3
minor billing discrepancy last invoice immediately action lo,0
call center repeatedly disconnected unacceptable,1
received wrong color variant usable unacceptable,0
company violated legal terms sent misleading invoices unacceptable,3
company violated legal terms sent misleading invoices disappointed hoon,3
call center repeatedly disconnected unacceptable,1
received wrong color variant usable immediately action lo,0
account temporarily blocked causing inconvenience,2
product slightly delayed works fine unacceptable,0
major safety hazard product recall immediately unacceptable,3
customer care respond repeated emails,1
received wrong color variant usable take legal action,0
product stopped working within days unacceptable,2
product stopped working within days unacceptable,2
product slightly delayed works fine please resolve soon,0
major safety hazard product recall immediately unacceptable,3
major safety hazard product recall immediately disappointed hoon,3
product caused injury using urgent medical attention needed please resolve soon,3
customer care respond repeated emails disappointed hoon,1
company violated legal terms sent misleading invoices unacceptable,3
company violated legal terms sent misleading invoices take legal action,3
company violated legal terms sent misleading invoices immediately action lo,3
major safety hazard product recall immediately,3
product stopped working within days,2
account temporarily blocked causing inconvenience please resolve soon,2
minor billing discrepancy last invoice please resolve soon,0
product caused injury using urgent medical attention needed unacceptable,3
packaging slightly damaged item okay disappointed hoon,0
account temporarily blocked causing inconvenience unacceptable,2
product caused injury using urgent medical attention needed,3
customer care respond repeated emails,1
charged multiple times product take legal action,2
internet connection unstable 2 days immediately action lo,1
internet connection unstable 2 days please resolve soon,1
delivery executive rude unprofessional immediately action lo,2
account temporarily blocked causing inconvenience take legal action,2
account temporarily blocked causing inconvenience immediately action lo,2
call center repeatedly disconnected disappointed hoon,1
product unsafe children withdraw immediately disappointed hoon,3
customer care respond repeated emails unacceptable,1
small issue subscription urgent,0
packaging slightly damaged item okay take legal action,0
product unsafe children withdraw immediately,3
packaging slightly damaged item okay unacceptable,0
received incomplete items need assistance unacceptable,1
charged multiple times product take legal action,2
packaging slightly damaged item okay,0
received incomplete items need assistance disappointed hoon,1
product slightly delayed works fine unacceptable,0
delivery executive rude unprofessional take legal action,2
account temporarily blocked causing inconvenience disappointed hoon,2
product unsafe children withdraw immediately please resolve soon,3
company violated legal terms sent misleading invoices unacceptable,3
charged multiple times product unacceptable,2
delivery executive rude unprofessional,2
received wrong color variant usable unacceptable,0
account temporarily blocked causing inconvenience unacceptable,2
charged multiple times product please resolve soon,2
account temporarily blocked causing inconvenience please resolve soon,2
customer support refused resolve issue repeatedly please resolve soon,2
sensitive personal data leaked urgent action required please resolve soon,3
received incomplete items need assistance,1
packaging slightly damaged item okay immediately action lo,0
call center repeatedly disconnected please resolve soon,1
customer support refused resolve issue repeatedly immediately action lo,2
customer care respond repeated emails take legal action,1
company violated legal terms sent misleading invoices disappointed hoon,3
product stopped working within days take legal action,2
call center repeatedly disconnected immediately action lo,1
sensitive personal data leaked urgent action required disappointed hoon,3
major safety hazard product recall immediately immediately action lo,3
product caused injury using urgent medical attention needed,3
charged multiple times product take legal action,2
product warranty activation problem,1
product slightly delayed works fine take legal action,0
received wrong color variant usable,0
minor billing discrepancy last invoice immediately action lo,0
delivery executive rude unprofessional please resolve soon,2
product unsafe children withdraw immediately unacceptable,3
product slightly delayed works fine,0
sensitive personal data leaked urgent action required please resolve soon,3
company violated legal terms sent misleading invoices,3
customer care respond repeated emails immediately action lo,1
received incomplete items need assistance,1
major safety hazard product recall immediately,3
product stopped working within days disappointed hoon,2
company violated legal terms sent misleading invoices,3
call center repeatedly disconnected,1
delivery executive rude unprofessional take legal action,2
product slightly delayed works fine,0
company violated legal terms sent misleading invoices take legal action,3
charged multiple times product take legal action,2
product caused injury using urgent medical attention needed,3
charged multiple times product disappointed hoon,2
charged multiple times product immediately action lo,2
customer care respond repeated emails disappointed hoon,1
major safety hazard product recall immediately,3
delivery executive rude unprofessional immediately action lo,2
product caused injury using urgent medical attention needed disappointed hoon,3
received incomplete items need assistance disappointed hoon,1
small issue subscription urgent please resolve soon,0
product unsafe children withdraw immediately please resolve soon,3
delivery executive rude unprofessional immediately action lo,2
customer support refused resolve issue repeatedly disappointed hoon,2
sensitive personal data leaked urgent action required please resolve soon,3
charged multiple times product please resolve soon,2
minor billing discrepancy last invoice disappointed hoon,0
minor billing discrepancy last invoice,0
product unsafe children withdraw immediately disappointed hoon,3
company violated legal terms sent misleading invoices immediately action lo,3
received incomplete items need assistance disappointed hoon,1
customer care respond repeated emails immediately action lo,1
customer support refused resolve issue repeatedly,2
customer care respond repeated emails unacceptable,1
product stopped working within days immediately action lo,2
packaging slightly damaged item okay disappointed hoon,0
received wrong color variant usable immediately action lo,0
customer support refused resolve issue repeatedly,2
product unsafe children withdraw immediately please resolve soon,3
company violated legal terms sent misleading invoices please resolve soon,3
call center repeatedly disconnected disappointed hoon,1
received wrong color variant usable,0
minor billing discrepancy last invoice please resolve soon,0
sensitive personal data leaked urgent action required take legal action,3
product unsafe children withdraw immediately unacceptable,3
received incomplete items need assistance immediately action lo,1
customer care respond repeated emails unacceptable,1
charged multiple times product,2
call center repeatedly disconnected please resolve soon,1
product caused injury using urgent medical attention needed disappointed hoon,3
internet connection unstable 2 days,1
product unsafe children withdraw immediately unacceptable,3
product slightly delayed works fine please resolve soon,0
received incomplete items need assistance unacceptable,1
call center repeatedly disconnected,1
product warranty activation problem unacceptable,1
packaging slightly damaged item okay disappointed hoon,0
packaging slightly damaged item okay unacceptable,0
product warranty activation problem take legal action,1
call center repeatedly disconnected unacceptable,1
company violated legal terms sent misleading invoices unacceptable,3
internet connection unstable 2 days immediately action lo,1
product stopped working within days,2
delivery executive rude unprofessional,2
delivery executive rude unprofessional,2
major safety hazard product recall immediately please resolve soon,3
packaging slightly damaged item okay take legal action,0
product warranty activation problem immediately action lo,1
minor billing discrepancy last invoice unacceptable,0
major safety hazard product recall immediately disappointed hoon,3
small issue subscription urgent immediately action lo,0
customer care respond repeated emails disappointed hoon,1
customer care respond repeated emails please resolve soon,1
minor billing discrepancy last invoice immediately action lo,0
product unsafe children withdraw immediately please resolve soon,3
delivery executive rude unprofessional take legal action,2
minor billing discrepancy last invoice disappointed hoon,0
charged multiple times product unacceptable,2
major safety hazard product recall immediately immediately action lo,3
product unsafe children withdraw immediately please resolve soon,3
delivery executive rude unprofessional take legal action,2
product caused injury using urgent medical attention needed immediately action lo,3
product unsafe children withdraw immediately disappointed hoon,3
product stopped working within days unacceptable,2
packaging slightly damaged item okay,0
packaging slightly damaged item okay please resolve soon,0
small issue subscription urgent take legal action,0
small issue subscription urgent unacceptable,0
company violated legal terms sent misleading invoices please resolve soon,3
call center repeatedly disconnected unacceptable,1
product unsafe children withdraw immediately unacceptable,3
minor billing discrepancy last invoice,0
sensitive personal data leaked urgent action required,3
received wrong color variant usable please resolve soon,0
product caused injury using urgent medical attention needed please resolve soon,3
minor billing discrepancy last invoice please resolve soon,0
received incomplete items need assistance unacceptable,1
product warranty activation problem,1
customer care respond repeated emails,1
received incomplete items need assistance take legal action,1
received wrong color variant usable please resolve soon,0
account temporarily blocked causing inconvenience please resolve soon,2
received wrong color variant usable please resolve soon,0
small issue subscription urgent please resolve soon,0
product warranty activation problem unacceptable,1
sensitive personal data leaked urgent action required unacceptable,3
product warranty activation problem unacceptable,1
call center repeatedly disconnected unacceptable,1
call center repeatedly disconnected,1
small issue subscription urgent,0
major safety hazard product recall immediately immediately action lo,3
sensitive personal data leaked urgent action required immediately action lo,3
internet connection unstable 2 days immediately action lo,1
delivery executive rude unprofessional please resolve soon,2
product stopped working within days,2
major safety hazard product recall immediately,3
customer support refused resolve issue repeatedly please resolve soon,2
received incomplete items need assistance immediately action lo,1
product warranty activation problem immediately action lo,1
company violated legal terms sent misleading invoices immediately action lo,3
internet connection unstable 2 days take legal action,1
minor billing discrepancy last invoice disappointed hoon,0
account temporarily blocked causing inconvenience disappointed hoon,2
product caused injury using urgent medical attention needed disappointed hoon,3
product slightly delayed works fine immediately action lo,0
received wrong color variant usable disappointed hoon,0
delivery executive rude unprofessional unacceptable,2
minor billing discrepancy last invoice please resolve soon,0
company violated legal terms sent misleading invoices please resolve soon,3
call center repeatedly disconnected take legal action,1
internet connection unstable 2 days take legal action,1
product stopped working within days,2
minor billing discrepancy last invoice unacceptable,0
small issue subscription urgent,0
product unsafe children withdraw immediately unacceptable,3
customer support refused resolve issue repeatedly take legal action,2
minor billing discrepancy last invoice disappointed hoon,0
product unsafe children withdraw immediately take legal action,3
small issue subscription urgent disappointed hoon,0
company violated legal terms sent misleading invoices take legal action,3
product slightly delayed works fine please resolve soon,0
sensitive personal data leaked urgent action required please resolve soon,3
received incomplete items need assistance please resolve soon,1
account temporarily blocked causing inconvenience immediately action lo,2
customer care respond repeated emails take legal action,1
product caused injury using urgent medical attention needed unacceptable,3
product warranty activation problem,1
product unsafe children withdraw immediately immediately action lo,3
packaging slightly damaged item okay,0
customer support refused resolve issue repeatedly disappointed hoon,2
product caused injury using urgent medical attention needed please resolve soon,3
delivery executive rude unprofessional immediately action lo,2
customer support refused resolve issue repeatedly please resolve soon,2
packaging slightly damaged item okay please resolve soon,0
delivery executive rude unprofessional,2
product slightly delayed works fine immediately action lo,0
account temporarily blocked causing inconvenience,2
call center repeatedly disconnected take legal action,1
major safety hazard product recall immediately immediately action lo,3
minor billing discrepancy last invoice take legal action,0
product caused injury using urgent medical attention needed please resolve soon,3
product slightly delayed works fine,0
product warranty activation problem disappointed hoon,1
product warranty activation problem disappointed hoon,1
product caused injury using urgent medical attention needed disappointed hoon,3
call center repeatedly disconnected unacceptable,1
packaging slightly damaged item okay unacceptable,0
product stopped working within days please resolve soon,2
product slightly delayed works fine immediately action lo,0
sensitive personal data leaked urgent action required unacceptable,3
company violated legal terms sent misleading invoices unacceptable,3
received wrong color variant usable please resolve soon,0
product unsafe children withdraw immediately please resolve soon,3
account temporarily blocked causing inconvenience take legal action,2
call center repeatedly disconnected disappointed hoon,1
customer care respond repeated emails take legal action,1
packaging slightly damaged item okay disappointed hoon,0
received wrong color variant usable unacceptable,0
product warranty activation problem please resolve soon,1
received incomplete items need assistance take legal action,1
call center repeatedly disconnected disappointed hoon,1
customer care respond repeated emails please resolve soon,1
account temporarily blocked causing inconvenience unacceptable,2
product unsafe children withdraw immediately immediately action lo,3
company violated legal terms sent misleading invoices immediately action lo,3
product stopped working within days unacceptable,2
product warranty activation problem unacceptable,1
sensitive personal data leaked urgent action required disappointed hoon,3
account temporarily blocked causing inconvenience unacceptable,2
packaging slightly damaged item okay please resolve soon,0
received wrong color variant usable immediately action lo,0
received wrong color variant usable unacceptable,0
received incomplete items need assistance take legal action,1
charged multiple times product take legal action,2
customer care respond repeated emails immediately action lo,1
company violated legal terms sent misleading invoices disappointed hoon,3
product warranty activation problem please resolve soon,1
customer care respond repeated emails unacceptable,1
call center repeatedly disconnected disappointed hoon,1
charged multiple times product immediately action lo,2
major safety hazard product recall immediately,3
sensitive personal data leaked urgent action required,3
product slightly delayed works fine please resolve soon,0
internet connection unstable 2 days,1
delivery executive rude unprofessional,2
minor billing discrepancy last invoice unacceptable,0
product slightly delayed works fine unacceptable,0
sensitive personal data leaked urgent action required take legal action,3
product unsafe children withdraw immediately please resolve soon,3
minor billing discrepancy last invoice disappointed hoon,0
product caused injury using urgent medical attention needed immediately action lo,3
received wrong color variant usable immediately action lo,0
product caused injury using urgent medical attention needed please resolve soon,3
call center repeatedly disconnected take legal action,1
customer support refused resolve issue repeatedly immediately action lo,2
call center repeatedly disconnected take legal action,1
product unsafe children withdraw immediately disappointed hoon,3
customer support refused resolve issue repeatedly take legal action,2
product caused injury using urgent medical attention needed please resolve soon,3
received wrong color variant usable,0
packaging slightly damaged item okay unacceptable,0
charged multiple times product please resolve soon,2
product stopped working within days please resolve soon,2
charged multiple times product please resolve soon,2
small issue subscription urgent immediately action lo,0
received wrong color variant usable immediately action lo,0
product caused injury using urgent medical attention needed,3
account temporarily blocked causing inconvenience take legal action,2
delivery executive rude unprofessional immediately action lo,2
internet connection unstable 2 days immediately action lo,1
received wrong color variant usable immediately action lo,0
call center repeatedly disconnected,1
product slightly delayed works fine please resolve soon,0
received incomplete items need assistance unacceptable,1
customer support refused resolve issue repeatedly immediately action lo,2
minor billing discrepancy last invoice immediately action lo,0
major safety hazard product recall immediately please resolve soon,3
account temporarily blocked causing inconvenience immediately action lo,2
customer care respond repeated emails take legal action,1
product caused injury using urgent medical attention needed disappointed hoon,3
received incomplete items need assistance please resolve soon,1
customer support refused resolve issue repeatedly immediately action lo,2
product stopped working within days unacceptable,2
minor billing discrepancy last invoice please resolve soon,0
