complaint_text,risk_encoded
"Mera internet connection 2 din se unstable hai, please fix asap",1
Product packaging slightly damaged but item works fine I will take legal action,0
Product packaging slightly damaged but item works fine,0
Customer care did not respond to my repeated emails regarding refund yeh unacceptable hai,1
Company has violated legal terms and sent misleading invoices repeatedly please resolve soon,3
"I was charged multiple times for the same product, causing financial loss immediately action lo",2
Company has violated legal terms and sent misleading invoices repeatedly yeh unacceptable hai,3
"Major safety hazard in product, recall immediately please resolve soon",3
Customer care did not respond to my repeated emails regarding refund I will take legal action,1
"Received incomplete items in my order, please assist bahut disappointed hoon",1
Product warranty activation me problem ho raha hai immediately action lo,1
I was charged $2 extra for my subscription last month I will take legal action,0
Minor billing discrepancy in my last invoice please resolve soon,0
Account was temporarily blocked without reason causing inconvenience yeh unacceptable hai,2
Minor billing discrepancy in my last invoice,0
"Received incomplete items in my order, please assist please resolve soon",1
Product warranty activation me problem ho raha hai I will take legal action,1
"Sensitive personal data leak hua, urgent action needed bahut disappointed hoon",3
Customer care did not respond to my repeated emails regarding refund yeh unacceptable hai,1
Minor billing discrepancy in my last invoice yeh unacceptable hai,0
Minor billing discrepancy in my last invoice please resolve soon,0
Customer support refused to resolve issue even after repeated complaints yeh unacceptable hai,2
"I was charged multiple times for the same product, causing financial loss yeh unacceptable hai",2
"Product caused injury while using, medical attention required bahut disappointed hoon",3
"Mera internet connection 2 din se unstable hai, please fix asap immediately action lo",1
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein yeh unacceptable hai,3
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein yeh unacceptable hai,3
"Product caused injury while using, medical attention required immediately action lo",3
Product packaging slightly damaged but item works fine bahut disappointed hoon,0
The delivery executive was rude and unprofessional during handover immediately action lo,2
Call center repeatedly disconnected me during support call,1
The delivery executive was rude and unprofessional during handover yeh unacceptable hai,2
Company has violated legal terms and sent misleading invoices repeatedly immediately action lo,3
Received wrong color variant but can use it I will take legal action,0
Customer support refused to resolve issue even after repeated complaints immediately action lo,2
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein,3
Minor billing discrepancy in my last invoice yeh unacceptable hai,0
Product warranty activation me problem ho raha hai please resolve soon,1
Customer support refused to resolve issue even after repeated complaints immediately action lo,2
"Sensitive personal data leak hua, urgent action needed yeh unacceptable hai",3
"Sensitive personal data leak hua, urgent action needed yeh unacceptable hai",3
Account was temporarily blocked without reason causing inconvenience bahut disappointed hoon,2
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein yeh unacceptable hai,3
"Sensitive personal data leak hua, urgent action needed bahut disappointed hoon",3
Call center repeatedly disconnected me during support call bahut disappointed hoon,1
"Product caused injury while using, medical attention required please resolve soon",3
Account was temporarily blocked without reason causing inconvenience,2
"Received incomplete items in my order, please assist please resolve soon",1
Customer support refused to resolve issue even after repeated complaints please resolve soon,2
I was charged $2 extra for my subscription last month bahut disappointed hoon,0
"Product caused injury while using, medical attention required bahut disappointed hoon",3
Yeh product bachchon ke liye unsafe hai aur market se immediately withdraw karein yeh unacceptable hai,3
Delivery was slightly delayed but not a problem,0
Company has violated legal terms and sent misleading invoices repeatedly bahut disappointed hoon,3
The delivery executive was rude and unprofessional during handover immediately action lo,2
Product warranty activation me problem ho raha hai I will take legal action,1
I was charged $2 extra for my subscription last month,0
Delivery was slightly delayed but not a problem yeh unacceptable hai,0
Delivery was slightly delayed but not a problem bahut disappointed hoon,0
"Major safety hazard in product, recall immediately immediately action lo",3
Delivery was slightly delayed but not a problem please resolve soon,0
Product stopped working within few days of purchase immediately action lo,2
"Received incomplete items in my order, please assist bahut disappointed hoon",1
